%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l3BytesSnt	minL3PktSz	maxL3PktSz	avgL3PktSz	stdL3PktSz	varL3PktSz	skewL3PktSz	kurL3PktSz	minIAT	maxIAT	avgIAT	stdIAT	varIAT	skewIAT	kurIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	36	0x0400000000004000	1736195897.333671000	1736195898.237681000	0.904010000	10.0.2.100	47732	94.100.180.211	443	6	13	2683	40	1500	206.3846	463.7047	215022.1	2.165633	7.510395	0	0.252668	0.06953923	0.1150289	0.01323165	1.049402	2.121895	14.38037	2967.887	0.04	-0.3108143	0x1001	19011	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	36	0x0400000000004001	1736195897.543769000	1736195898.237673000	0.693904000	94.100.180.211	443	10.0.2.100	47732	6	12	5103	40	1480	425.25	667.0842	445001.3	1.052705	2.603638	0	0.210919	0.05782533	0.09612833	0.009240655	1.699356	3.456886	17.29346	7354.043	-0.04	0.3108143	0x1001	1	76	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	34	0x0400000000004000	1736195897.333311000	1736195898.241725000	0.908414000	10.0.2.100	47700	94.100.180.211	443	6	14	2723	40	1500	194.5	449.1364	201723.5	2.206913	7.927841	0	0.253976	0.06488671	0.1135971	0.01290431	1.095862	2.276414	15.41148	2997.532	0.03703704	-0.3076532	0x1001	64567	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	34	0x0400000000004001	1736195897.546774000	1736195898.241720000	0.694946000	94.100.180.211	443	10.0.2.100	47700	6	13	5143	40	1480	395.6154	624.5295	390037.2	1.141936	2.941836	0	0.21318	0.05345739	0.09473153	0.008974063	1.784668	3.733901	18.70649	7400.575	-0.03703704	0.3076532	0x1001	1	72	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	32	0x0400000000004000	1736195897.333071000	1736195898.244472000	0.911401000	10.0.2.100	47684	94.100.180.211	443	6	14	2723	40	1500	194.5	449.1364	201723.5	2.206913	7.927841	0	0.258135	0.06510007	0.1162495	0.01351395	1.075657	2.244859	15.36097	2987.708	0.03703704	-0.3076532	0x1001	55364	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_12_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	32	0x0400000000004001	1736195897.550882000	1736195898.244468000	0.693586000	94.100.180.211	443	10.0.2.100	47684	6	13	5143	40	1480	395.6154	624.5295	390037.2	1.141936	2.941836	0	0.216716	0.05335277	0.09602379	0.009220568	1.795388	3.76765	18.74317	7415.086	-0.03703704	0.3076532	0x1001	1	71	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_5_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	31	0x0400000000004000	1736195897.332962000	1736195898.244577000	0.911615000	10.0.2.100	47680	94.100.180.211	443	6	13	2683	40	1500	206.3846	463.7047	215022.1	2.165633	7.510395	0	0.258481	0.07012423	0.1194897	0.01427779	1.019008	2.077147	14.26041	2943.128	0	-0.3143368	0x1001	14939	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_11_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	31	0x0400000000004001	1736195897.550173000	1736195898.244575000	0.694402000	94.100.180.211	443	10.0.2.100	47680	6	13	5143	40	1480	395.6154	648.1794	420136.6	1.089556	2.828195	0	0.218337	0.05341554	0.09656093	0.009324014	1.742717	3.672416	18.72115	7406.373	0	0.3143368	0x1001	1	69	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_4_13_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
A	37	0x0400000000004000	1736195897.333773000	1736195898.247396000	0.913623000	10.0.2.100	47746	94.100.180.211	443	6	12	2643	40	1500	220.25	479.7644	230173.9	2.124185	7.097217	0	0.252954	0.07613525	0.1224989	0.01500597	1.00953	1.981754	13.13452	2892.878	0	-0.3175833	0x1001	20117	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011f	0x0000	1_1_1_4_10_0_0_0_1_0_0_0_0_0_0_0	1	5	0x0000011e	1460	0
B	37	0x0400000000004001	1736195897.552724000	1736195898.247391000	0.694667000	94.100.180.211	443	10.0.2.100	47746	6	12	5103	40	1480	425.25	668.0223	446253.8	1.081224	2.722706	0	0.220313	0.05788891	0.1003011	0.01006032	1.712539	3.478577	17.27446	7345.966	0	0.3175833	0x1001	1	70	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_1_0_3_12_0_0_0_0_1_0_0_0_0_0_0	1	1	0x00000004	1460	0
