%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	13	0x0400100000004000	1789844605.833219000	1789844606.072166000	0.238947000	192.168.64.3	54843	1.1.1.1	443	6	28	3720	0	739	132.8571	261.9359	68610.42	1.996557	5.285395	117.1808	15568.31	0.07692308	0.06346484	0x1201	0	10	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_16_24_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	13	0x0400100000004001	1789844605.891597000	1789844606.172444000	0.280847000	1.1.1.1	443	192.168.64.3	54843	6	24	3276	0	560	136.5	213.8437	45729.13	1.544733	3.351616	85.45578	11664.71	-0.07692308	-0.06346484	0x1201	0	15062	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_12_24_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	15	0x0400100000004000	1789844699.650633000	1789844699.710442000	0.059809000	192.168.64.3	54843	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	133.7591	0	0.3333333	0	0x1001	0	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	15	0x0400100000004001	1789844699.710313000	1789844699.710326000	0.000013000	1.1.1.1	443	192.168.64.3	54843	6	4	0	0	0	0	0	0	0	0	307692.3	0	-0.3333333	0	0x1001	0	0	50	50	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	14	0x0400100000004000	1789844605.834677000	1789844759.627325000	153.792648000	192.168.64.3	54844	1.1.1.1	443	6	2668	85936	0	739	32.2099	39.09045	1528.063	6.048795	112.1845	17.34803	558.7783	0.01987768	-0.4065849	0x1201	0	4	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1640_2664_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	14	0x0400100000004001	1789844605.887369000	1789844759.627241000	153.739872000	1.1.1.1	443	192.168.64.3	54844	6	2564	203696	0	560	79.44462	50.8559	2586.322	1.145689	11.00186	16.67752	1324.939	-0.01987768	0.4065849	0x1201	1	5457	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2404_2564_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	16	0x0400100000004000	1789844840.294445000	1789844840.425057000	0.130612000	192.168.64.3	54844	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	61.25011	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	16	0x0400100000004001	1789844840.424825000	1789844840.424880000	0.000055000	1.1.1.1	443	192.168.64.3	54844	6	4	0	0	0	0	0	0	0	0	72727.27	0	-0.3333333	0	0x1001	0	0	49	49	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	17	0x0400100000004000	1789844840.298251000	1789844990.118106000	149.819855000	192.168.64.3	54845	1.1.1.1	443	6	2744	91740	0	739	33.43295	39.80349	1584.317	5.565205	101.5701	18.31533	612.3354	0.02925731	-0.3656567	0x1201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1688_2740_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	17	0x0400100000004001	1789844840.442740000	1789844990.118038000	149.675298000	1.1.1.1	443	192.168.64.3	54845	6	2588	197504	0	569	76.3153	46.7851	2188.846	1.354362	16.86011	17.29076	1319.55	-0.02925731	0.3656567	0x1201	1	36362	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2420_2588_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
