%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	18	0x0400100000004000	1789910492.244367000	1789910492.309483000	0.065116000	192.168.64.3	55926	8.8.8.8	443	6	8	0	0	0	0	0	0	0	0	122.8577	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	18	0x0400100000004001	1789910492.308840000	1789910492.309002000	0.000162000	8.8.8.8	443	192.168.64.3	55926	6	4	0	0	0	0	0	0	0	0	24691.36	0	-0.3333333	0	0x1001	0	0	114	114	0	0x60	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	19	0x0400100000004000	1789910492.249199000	1789910603.945124000	111.695925000	192.168.64.3	55929	8.8.8.8	443	6	2264	83092	0	775	36.70141	40.61309	1649.423	7.346158	137.1923	20.26932	743.9125	-0.2635003	-0.316599	0x5201	0	2	128	128	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_1660_2260_0_0_0_4_0_0_0_0_0_0_0	32	108	0x0000003e	1460	256
B	19	0x0400100000004001	1789910492.315965000	1789910603.944822000	111.628857000	8.8.8.8	443	192.168.64.3	55929	6	3884	160080	0	648	41.21524	51.08029	2609.196	1.512053	13.89416	34.79387	1434.038	0.2635003	0.316599	0x1201	1	39530	115	115	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	4_4_0_2228_3884_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	20	0x0400120000004000	1789910604.025183000	1789910783.897462000	179.872279000	192.168.64.3	55932	8.8.8.8	443	6	2172	80676	0	460	37.14365	31.91151	1018.345	3.112685	47.78217	12.07523	448.5182	-0.2571819	-0.3740515	0x5201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1596_2168_0_0_0_0_0_0_0_0_0_0_0	16	60	0x0000003e	1460	256
B	20	0x0400100000004001	1789910604.089608000	1789910783.966795000	179.877187000	8.8.8.8	443	192.168.64.3	55932	6	3676	177096	0	1412	48.17628	97.06065	9420.769	0.5976687	42.90761	20.43617	984.5385	0.2571819	0.3740515	0x1201	0	55251	114	114	0	0x60	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2084_3676_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
A	21	0x0400100000004000	1789910784.144168000	1789910934.207897000	150.063729000	192.168.64.3	55932	8.8.8.8	443	6	1972	73200	0	73	37.11967	26.01814	676.9438	-0.151543	1.989514	13.14108	487.7927	-0.2641791	-0.3358978	0x5001	0	2	128	128	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0119	0x0000	4_0_0_1464_1972_0_0_0_4_0_0_0_0_0_0_0	12	36	0x00000022	0	1
B	21	0x0400100000004001	1789910784.248600000	1789910934.205030000	149.956430000	8.8.8.8	443	192.168.64.3	55932	6	3388	147248	0	170	43.46163	51.48618	2650.827	1.004749	2.661241	22.59323	981.9385	0.2641791	0.3358978	0x1001	0	1	114	114	0	0x60	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0119	0x0000	4_0_0_1916_3388_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	22	0x0400100000004000	1789910953.271211000	1789911103.041661000	149.770450000	192.168.64.3	55934	8.8.8.8	443	6	3308	114280	0	775	34.54655	35.24339	1242.097	7.522359	166.983	22.08714	763.0344	-0.2642349	-0.3484161	0x5201	0	2	128	128	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_2404_3304_0_0_0_0_0_0_0_0_0_0_0	80	252	0x0000003e	1460	256
B	22	0x0400100000004001	1789910953.311395000	1789911103.082300000	149.770905000	8.8.8.8	443	192.168.64.3	55934	6	5684	236496	0	1412	41.60732	79.55891	6329.621	1.691678	67.36746	37.9513	1579.052	0.2642349	0.3484161	0x1201	0	52376	115	115	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_3276_5684_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1412	256
